סמל מוסד,שם מוסד,יישוב
120212,בית רחל שטראוס,ירושלים
120238,קרית יערים,קרית יערים (מוסד)
120527,אלונים,ירושלים
140038,עירוני דתי רוטשילד,ירושלים
140046,עירוני ג',ירושלים
140053,אקדמיה למוסיקה,ירושלים
140061,תכון ליד האוניברסיטה,ירושלים
140079,הגמנסיה העברית,ירושלים
140087,רנה קסין דרכא,ירושלים
140095,חוות הנוער הציוני,ירושלים
140129,קרית נוער ירושלים,ירושלים
140137,ישיבת נתיב מאיר,ירושלים
140160,ישיבת ים לצעירים,ירושלים
140186,"תורני ע""ש פ. הימלפרב",ירושלים
140202,עתיד שחר בית שמש,בית שמש
140236,תורני נסויי בנות פלך,ירושלים
140251,ישיבת תיכון קול מבשר,מבשרת ציון
140269,מקיף דנמרק,ירושלים
140277,מדרשיית עמליה,ירושלים
140434,ישיבת תורת אמת,ירושלים
140442,ישיבת אור ברוך,ירושלים
140491,אולפנת צביה ירושלים,ירושלים
140525,אולפנא ירושלים,ירושלים
140541,ישיבת עטרת ישראל,ירושלים
140574,ישיבת בית מרדכי,ירושלים
140582,ישיבת אוהל מועד,ירושלים
140608,מכון הברכה,ירושלים
140632,מכון אהרון וישראל,ירושלים
140665,אולפנא לבנות,קרית ארבע
140673,ישיבת חסידי בעלז,ירושלים
140681,ישיבת יקירי ירושלים,ירושלים
140715,תיכון בית יעקב,ירושלים
140723,"מקיף ע""ש זיו",ירושלים
140731,מקיף גילה,ירושלים
140749,ישיבת תפארת ישראל,ירושלים
140764,ישיבת נוה שמואל,אפרת
140780,ישיבת כוכב מיעקב,ירושלים
140798,ישיבת אוהל שמעון,ירושלים
140806,תיכון לאומנויות,ירושלים
140814,ישיבת אור אלחנן,ירושלים
140822,בית מלכה,ירושלים
140848,ניצני עוז,בית שמש
140863,דקל - וילנאי,מעלה אדומים
140871,תיכון גבעת גונן,ירושלים
140913,נוה חנה,אלון שבות
140921,ישיבת בית אברהם,ירושלים
140939,"ישיבת בנ""ע מטה בנימין",בית אל
140947,ישיבת מעלות התורה,ירושלים
140954,ישיבת מערבא,מתתיהו
140962,עירוני מסורתי,ירושלים
140970,אולפנא עופרה,עופרה
141028,ישיבת מקור חיים,כפר עציון
141044,"תיכון ע""ש יעקובזון",ירושלים
141069,תפארת משה בצלאל,ירושלים
141093,ישיבת בית דוד חברון גבעת מרדכי,ירושלים
141101,ישיבת נתיבות יוסף,מצפה יריחו
141119,נוות ישראל,ירושלים
141135,ישיבת שפת אמת,ירושלים
141143,ישיבת שאול ומרי טויל,ירושלים
141168,תורני לבנות ב.שולמית,ירושלים
141176,אולפנת צביה מ. אדומים,מעלה אדומים
141192,ישיבת אוהל שמחה,ירושלים
